proposed_use,existing_construction_type,status_date,proposed_units,proposed_construction_type,permit_number,description,revised_cost,street_name,supervisor_district,street_suffix,lot,filed_date,plansets,block,number_of_existing_stories,number_of_proposed_stories,neighborhoods_analysis_boundaries,permit_type_definition,permit_type,permit_creation_date,zipcode,record_id,proposed_construction_type_description,estimated_cost,street_number,existing_use,existing_units,location,status,existing_construction_type_description
apartments,5,2021-06-25T00:00:00.000,7,5,202106253183,vertical addition @ rear structure. replacing all street facing windows with double-hung wood sash for building along fell street,,Fell,5,St,012,2021-06-25T00:00:00.000,2,0818,4,4,Hayes Valley,additions alterations or repairs,3,2021-06-25T00:00:00.000,94102,1619572237265,wood frame (5),100000,474,apartments,5,"{coordinates:[-122.42568195815525,37.775843455897714],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-06-25T00:00:00.000,2,5,202106253280,reroofing.,17000,Green,2,St,024,2021-06-25T00:00:00.000,0,0558,2,2,Marina,otc alterations permit,8,2021-06-25T00:00:00.000,94123,161967474320,wood frame (5),17000,2281,2 family dwelling,2,"{coordinates:[-122.43645042395752,37.79579816159753],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-06-25T00:00:00.000,2,5,202106253204,revision to pa 201906244267 to install mechanical erv fan for air exchange to living space on 1sf floor area without natural ventilation.,1000,Taraval,4,St,057,2021-06-25T00:00:00.000,0,2386,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-25T00:00:00.000,94116,1619592133827,wood frame (5),1000,2901,1 family dwelling,1,"{coordinates:[-122.49728035760418,37.74189650214373],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253254,"at basement, create habitable space including a media room, full bathroom, mechanical room, and a new stair from the 1/f. on level 1, remodel the kitchen, remove a full bathroom and create a half bath. new laundry room at level 2. new windows/doors",250000,28th,2,Av,029,2021-06-25T00:00:00.000,2,1331,3,3,Seacliff,otc alterations permit,8,2021-06-25T00:00:00.000,94131,161964796045,wood frame (5),250000,142,1 family dwelling,1,"{coordinates:[-122.48811023805317,37.786689377698735],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-06-25T00:00:00.000,2,5,202106253185,"2409-2411 29th avenue: for documentation purpose, the legal use of this building is a 2 unit. this determination is based on review of city records & a site viit. no work on this permit.",1,29th,4,Av,001B,2021-06-25T00:00:00.000,0,2396,3,3,Sunset/Parkside,otc alterations permit,8,2021-06-25T00:00:00.000,94116,1619573134241,wood frame (5),1,2409,2 family dwelling,2,"{coordinates:[-122.48660875730164,37.74228620934531],type:Point}",issued,wood frame (5)
apartments,1,2021-06-28T00:00:00.000,72,1,202106253275,bldg 1: revision to pa 202009023320. level 1 lighting control revision to add occpancy sensors.,1,Lombard,3,St,005,2021-06-25T00:00:00.000,2,0059,9,9,Financial District/South Beach,otc alterations permit,8,2021-06-25T00:00:00.000,94111,1619669230782,constr type 1,1,150,apartments,72,"{coordinates:[-122.40427068972906,37.804430769182595],type:Point}",issued,constr type 1
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253203,reroofing,2500,Detroit,7,St,006,2021-06-25T00:00:00.000,0,3120,3,3,West of Twin Peaks,otc alterations permit,8,2021-06-25T00:00:00.000,94131,1619591152907,wood frame (5),2500,319,1 family dwelling,1,"{coordinates:[-122.44452836025728,37.73023296771919],type:Point}",issued,wood frame (5)
apartments,5,2021-06-25T00:00:00.000,12,5,202106253193,"replace (12) windows like-for-like, all facing street",30000,Hayes,5,St,010,2021-06-25T00:00:00.000,0,0804,3,3,Hayes Valley,otc alterations permit,8,2021-06-25T00:00:00.000,94117,1619581237170,wood frame (5),30000,840,apartments,12,"{coordinates:[-122.43038243529931,37.776225393288456],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253221,"rear windos & sliding door replacement. in kind with fiberglass, 6 windows & 1 sliding door. no work for deck area. rear sliding 708 sf. replacement hardi sliding. comply with nov 202178992",7000,Geary,1,Bl,001D,2021-06-25T00:00:00.000,0,1499,3,3,Outer Richmond,otc alterations permit,8,2021-06-25T00:00:00.000,94121,1619611101640,wood frame (5),5000,8125,1 family dwelling,1,"{coordinates:[-122.50663586197169,37.7787938061974],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253277,to add a new full bathroom in laundry room on 1/f. no exterior and structural changes.,16000,Melrose,7,Av,040,2021-06-25T00:00:00.000,2,3065,1,1,West of Twin Peaks,otc alterations permit,8,2021-06-25T00:00:00.000,94127,1619671151351,wood frame (5),5000,351,1 family dwelling,1,"{coordinates:[-122.45006134537854,37.733571781863475],type:Point}",filed,wood frame (5)
apartments,5,2021-06-28T00:00:00.000,3,5,202106253284,"unit 1 -add laundry room -hallway closet converted to laundry closet, stackable gas machines. ref pa 201903215929",6000,Fell,5,St,055,2021-06-25T00:00:00.000,2,1209,3,3,Lone Mountain/USF,otc alterations permit,8,2021-06-25T00:00:00.000,94117,161968092482,wood frame (5),6000,1702,apartments,3,"{coordinates:[-122.44617931052841,37.77313648328982],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253287,"replace 4 (e) windows in-kind at east elevation, not street visible. remove additional 287.25 sq ftof siding from east elevation. wall framing remains. install (n) siding over (e) siding on eat & west elevation.",,Broadway,2,,015,2021-06-25T00:00:00.000,2,0578,2,2,Pacific Heights,additions alterations or repairs,3,2021-06-25T00:00:00.000,94109,161968375132,wood frame (5),5000,1973,1 family dwelling,1,"{coordinates:[-122.42947555393013,37.794696029563084],type:Point}",filed,wood frame (5)
office,1,2021-06-25T00:00:00.000,0,1,202106253263,remove 4 heat pumps and replace with 5 fan coil units and 2 water condensing units,0,03rd,6,St,024,2021-06-25T00:00:00.000,2,8722,11,11,Mission Bay,otc alterations permit,8,2021-06-25T00:00:00.000,94158,1619657514971,constr type 1,222000,1725,office,0,"{coordinates:[-122.38766638057612,37.7679726134358],type:Point}",filed,constr type 1
retail sales,1,2021-06-25T00:00:00.000,0,1,202106253279,"ti of retail store. new floor finishes, ceilings, wall, non bearing partitions, miwwork finishes, lighting, hvac and plumbing fixtures. e storefront window mullions to remain. replace e glazing w new glazing. e entry doors and ext canopy to reamin.",0,Geary,3,St,006,2021-06-25T00:00:00.000,2,0309,10,10,Financial District/South Beach,otc alterations permit,8,2021-06-25T00:00:00.000,94108,1619673366801,constr type 1,450000,140,retail sales,0,"{coordinates:[-122.40574364199055,37.78793707926748],type:Point}",filed,constr type 1
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253194,"replacing 9 windows in kind retrofit fashion, non street facing/visible. rear of the home. egress compliant. existing vinyl proposed wood composite (fibrex) <.30 u-factor",21805,23rd,8,St,015,2021-06-25T00:00:00.000,0,2802,2,2,Noe Valley,otc alterations permit,8,2021-06-25T00:00:00.000,94114,1619582144553,wood frame (5),21805,4340,1 family dwelling,1,"{coordinates:[-122.43957478881376,37.75281648627747],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253248,"removal of interior walls in kitchen, dining,&family area.addition of a bathroom within existing footprint.remodel existing kitchen with updated cabinets and appliances. interior remodel of master bedroom,bathroom,laundry rm, kitchen,living rm, and dining rm.addition of total of 210 sqft 1st&2nd flr",,29th,4,Av,029,2021-06-25T00:00:00.000,2,1783,2,2,Sunset/Parkside,additions alterations or repairs,3,2021-06-25T00:00:00.000,94122,1619642114022,wood frame (5),200000,1334,1 family dwelling,1,"{coordinates:[-122.48746204568494,37.76241232800776],type:Point}",filed,wood frame (5)
apartments,1,2021-06-25T00:00:00.000,72,1,202106253227,apt 803: remodel 1 kitchen. no structural work. no layout changes or wall modification. maher n/a.,48000,Lombard,3,St,065,2021-06-25T00:00:00.000,0,0059,9,9,Financial District/South Beach,otc alterations permit,8,2021-06-25T00:00:00.000,94111,161961956944,constr type 1,48000,150,apartments,72,"{coordinates:[-122.40427068972906,37.804430769182595],type:Point}",issued,constr type 1
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253214,"reroofing.  remove (e) roofing on flat roof, install 2 ply app modified roof",32500,Locust,2,St,002C,2021-06-25T00:00:00.000,0,0994,3,3,Presidio Heights,otc alterations permit,8,2021-06-25T00:00:00.000,94118,161960386356,wood frame (5),32500,235,1 family dwelling,1,"{coordinates:[-122.45243290887086,37.78876179405587],type:Point}",issued,wood frame (5)
apartments,5,2021-06-25T00:00:00.000,4,5,202106253233,rev to pa202103176772 - reduce scope) - close 3 (e) windows & exclude fire rated windows; infill 3 windows at breezeway and maintain reated assembly.,1,Dolores,8,St,041,2021-06-25T00:00:00.000,0,3587,3,3,Mission,otc alterations permit,8,2021-06-25T00:00:00.000,94110,1619625405030,wood frame (5),1,535,apartments,4,"{coordinates:[-122.42562812862248,37.760922821769896],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-01T00:00:00.000,1,5,202106253282,reroofing.,14000,Arlington,8,St,006,2021-06-25T00:00:00.000,0,6690,2,2,Glen Park,otc alterations permit,8,2021-06-25T00:00:00.000,94110,1619677210658,wood frame (5),14000,230,1 family dwelling,1,"{coordinates:[-122.42583396993909,37.73780785108572],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253207,reroofing,6000,Detroit,7,St,006,2021-06-25T00:00:00.000,0,3120,3,3,West of Twin Peaks,otc alterations permit,8,2021-06-25T00:00:00.000,94131,1619595152907,wood frame (5),6000,319,1 family dwelling,1,"{coordinates:[-122.44452836025728,37.73023296771919],type:Point}",issued,wood frame (5)
apartments,5,2021-06-25T00:00:00.000,4,5,202106253252,install new washer and dryer hookups in hallway closet.,5000,Union,2,St,050,2021-06-25T00:00:00.000,2,0538,3,3,Marina,otc alterations permit,8,2021-06-25T00:00:00.000,94123,1619645486771,wood frame (5),5000,2369,apartments,4,"{coordinates:[-122.43818575065237,37.79649739627365],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253189,remodel 1 bath on 2nd fl non structural,8000,Warren,7,Dr,012,2021-06-25T00:00:00.000,0,2680,2,2,Inner Sunset,otc alterations permit,8,2021-06-25T00:00:00.000,94122,1619577141556,wood frame (5),8000,9,1 family dwelling,1,"{coordinates:[-122.45612592279102,37.755107767882734],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253196,"reroofing.  fremove tile portions partially, install underlayment, reset tile, remove/replace tile roof",9000,Santa Paula,7,Av,012,2021-06-25T00:00:00.000,0,3076,2,2,West of Twin Peaks,otc alterations permit,8,2021-06-25T00:00:00.000,94127,1619584151568,wood frame (5),9000,266,1 family dwelling,1,"{coordinates:[-122.46395434912645,37.735933792613224],type:Point}",issued,wood frame (5)
apartments,5,2021-06-25T00:00:00.000,6,5,202106253191,"r/r 360 sq. ft. stucco at s.e. end of bldg. remove, flash, reinstall 7 windows at 1st and 2nd floor. r/r 3 windows w/like kind at 3rd floor. repair affected areas at interior work spaces.",200000,04th,5,Av,001,2021-06-25T00:00:00.000,0,1746,3,3,Inner Sunset,otc alterations permit,8,2021-06-25T00:00:00.000,94122,1619579512780,wood frame (5),200000,1205,apartments,6,"{coordinates:[-122.4612496210341,37.765898210504574],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253182,replace 5 front windows to marvin wood alum clad to casements with grids (simulated devided lite) to match (e) pattern. u-factor max 0.30. same size and location.,9900,Moraga,7,St,044,2021-06-25T00:00:00.000,0,2039,2,2,Inner Sunset,otc alterations permit,8,2021-06-25T00:00:00.000,94122,1619570123037,wood frame (5),9900,427,1 family dwelling,1,"{coordinates:[-122.4673792874481,37.75626693150397],type:Point}",issued,wood frame (5)
vacant lot,,2021-06-25T00:00:00.000,0,,202106253273,temporary tent,0,Avenue Of The Palms,6,,002,2021-06-25T00:00:00.000,2,8901,,,Treasure Island,otc alterations permit,8,2021-06-25T00:00:00.000,94130,1619667508820,,10000,1,vacant lot,0,"{coordinates:[-122.37109339089557,37.81706188692536],type:Point}",filed,
apartments,,2021-06-25T00:00:00.000,101,1,202106253220,new 9-story multi-family dwelling builing,,Turk,6,St,006,2021-06-25T00:00:00.000,2,0336,,9,Tenderloin,new construction,1,2021-06-25T00:00:00.000,94102,161961269897,constr type 1,10600000,468,,,"{coordinates:[-122.41689137488544,37.78263901096437],type:Point}",filed,
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253281,reroofing.,14000,26th,8,St,020C,2021-06-25T00:00:00.000,0,6561,2,2,Noe Valley,otc alterations permit,8,2021-06-25T00:00:00.000,94131,1619676207515,wood frame (5),14000,4385,1 family dwelling,1,"{coordinates:[-122.43781094895036,37.7476596317361],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253213,"replace (10) windows front bay, casement and fixed on top floor. entry double hung to wood alum clad. not vislbe windwow to be vinyl frames. same size and location. u-factor max 0.30 or better.",9500,Otsego,11,Av,006,2021-06-25T00:00:00.000,0,3203,2,2,Outer Mission,otc alterations permit,8,2021-06-25T00:00:00.000,94112,1619602154759,wood frame (5),9500,124,1 family dwelling,1,"{coordinates:[-122.44013713631963,37.7257696285795],type:Point}",issued,wood frame (5)
office,1,2021-07-02T00:00:00.000,0,1,202106253285,"to obtain final inspection for work approved under permit application no(s) 201510301349, 201606240873, 201607223133,. all work is complete.",1,Drumm,3,St,002,2021-06-25T00:00:00.000,0,0235,3,3,Financial District/South Beach,otc alterations permit,8,2021-06-25T00:00:00.000,94111,1619681296982,constr type 1,190000,49,office,0,"{coordinates:[-122.3968155832656,37.79433169209566],type:Point}",complete,constr type 1
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253229,"revision to 202012100760. 1st fl new window at bathroo, new wetbar and relocate laundry to garage",3000,Madrid,11,St,001,2021-06-25T00:00:00.000,2,6350,2,2,Excelsior,otc alterations permit,8,2021-06-25T00:00:00.000,94112,1619620201674,wood frame (5),1500,800,1 family dwelling,1,"{coordinates:[-122.43665983443378,37.716975251845184],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253190,"replacing 4 windows, retrofit fashion.converting to triple casement. 2 street facing, 2 in the rear of the home. egress compliant. existing aluminum proposed wood composite <.30 u-factor",25398,Delano,11,Av,010F,2021-06-25T00:00:00.000,0,6951,2,2,Outer Mission,otc alterations permit,8,2021-06-25T00:00:00.000,94112,1619578215050,wood frame (5),25398,459,1 family dwelling,1,"{coordinates:[-122.44349252965324,37.72226191829329],type:Point}",issued,wood frame (5)
apartments,5,2021-06-25T00:00:00.000,13,5,202106253201,"4 kitchen and 8 bathrooms to be replaced in kind. remove and replace all sheetrock in the 4 units (#1,4,8,12)",140000,Chestnut,2,St,016,2021-06-25T00:00:00.000,0,0048,4,4,Russian Hill,otc alterations permit,8,2021-06-25T00:00:00.000,94109,1619590399726,wood frame (5),100000,970,apartments,13,"{coordinates:[-122.4193811149594,37.8032663610229],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253222,"remove (e) cracked and damaged stucco, and remove all dry rotted lumbers less than 50% of exposed area. re-stucco in kind and paint all new stucco area at front and side.",30000,25th,4,Av,009,2021-06-25T00:00:00.000,0,1918,1,1,Sunset/Parkside,otc alterations permit,8,2021-06-25T00:00:00.000,94122,1619613120374,wood frame (5),30000,1647,1 family dwelling,1,"{coordinates:[-122.48342879417324,37.75677857530723],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-06-25T00:00:00.000,2,5,202106253200,replace 2 front windows in kind. same operation opening and design. (currently is aluminum).,3000,43rd,4,Av,015,2021-06-25T00:00:00.000,0,1707,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-25T00:00:00.000,94122,1619588110921,wood frame (5),3000,1271,2 family dwelling,2,"{coordinates:[-122.50321196185291,37.762967934719235],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253274,"replace windows like for like, 11 total entire house.",0,Forest Knolls,7,Dr,017,2021-06-25T00:00:00.000,0,2685,2,2,Inner Sunset,otc alterations permit,8,2021-06-25T00:00:00.000,94131,1619668141657,wood frame (5),10000,89,1 family dwelling,1,"{coordinates:[-122.45523204699069,37.755405655450595],type:Point}",filed,wood frame (5)
office,3,2021-06-24T00:00:00.000,0,3,202106243158,"interior work only, add interior non bearing partitoins on 1st fl and cleaned up finishes",48000,Green,3,St,006,2021-06-24T00:00:00.000,2,0113,2,2,North Beach,otc alterations permit,8,2021-06-24T00:00:00.000,94111,161954259159,constr type 3,48000,200,office,0,"{coordinates:[-122.40292210371058,37.80048198329533],type:Point}",filed,constr type 3
apartments,5,2021-06-24T00:00:00.000,3,5,202106243092,re-roofing,18800,21st,8,St,109,2021-06-24T00:00:00.000,0,3619,4,4,Noe Valley,otc alterations permit,8,2021-06-24T00:00:00.000,94114,1619472466334,wood frame (5),18800,3519,apartments,3,"{coordinates:[-122.42618138906133,37.75640173775703],type:Point}",issued,wood frame (5)
